time,height,Command,TotalDWSQuantity,Metrics,TotalFutureCommitments,TotalGrossFutureCommitments,TotalCommitmentsDueToday,TotalGrossCommitmentsDueToday,TotalBurnsToday,TotalGrossBurnsToday,TotalMonthlyCommitments,TotalGrossMonthlyCommitments,TotalAnnualReward,SaturationPercentAnnual,SaturationPercentMonthly,30dayDWU,90dayDWU,180dayDWU,365dayDWU
1586066511,186662,dwsquote,232,v1.1,28720680.27715338,86634957.57540016,184.9210670634538,55185.3054,0,0,31941.45616659377,2912531.2216,41354212.8381642,69.45043396,0.92686439,11.5711,13.3288,15.9653,21.3847
1586088199,186718,dwsquote,232,v1.1,28720680.27715338,86634957.57540016,184.9210670634538,55185.3054,0,0,31941.45616659377,2912531.2216,41354212.8381642,69.45043396,0.92686439,11.5711,13.3288,15.9653,21.3847
1586109971,186770,dwsquote,234,v1.1,28720754.17822753,86685030.72810017,49.87708410991361,5050.1527,208.9450571036877,100208.3054,32150.40122369745,3012739.527,41354212.8381642,69.45061266,0.93292748,11.5711,13.3287,15.9652,21.3845
1586131277,186821,dwsquote,235,v1.1,28721122.19125763,86880398.72810015,0,0,626.8351713110632,300626.4581,32568.29133790483,3213157.6797,41354212.8381642,69.45150257,0.94505365,11.5707,13.3283,15.9647,21.3839
1586153202,186875,dwsquote,235,v1.1,28721122.19125763,86880398.72810015,0,0,626.8351713110632,300626.4581,32568.29133790483,3213157.6797,41354212.8381642,69.45150257,0.94505365,11.5707,13.3283,15.9647,21.3839
1586173775,186927,dwsquote,235,v1.1,28721122.19125763,86880398.72810015,273.5480907473647,40362.1527,626.8351713110632,300626.4581,32294.74324715746,3172795.527,41354212.8381642,69.45150257,0.93711594,11.5707,13.3283,15.9647,21.3839
1586196017,186981,dwsquote,235,v1.1,28721122.19125763,86880398.72810015,273.5480907473647,40362.1527,417.8901142073754,200418.1527,32294.74324715746,3172795.527,41354212.8381642,69.45150257,0.93711594,11.5707,13.3283,15.9647,21.3839
1586218159,187029,dwsquote,235,v1.1,28721122.19125763,86880398.72810015,273.5480907473647,40362.1527,0,0,32294.74324715746,3172795.527,41354212.8381642,69.45150257,0.93711594,11.5707,13.3283,15.9647,21.3839
1586239684,187084,dwsquote,237,v1.1,28721142.04103805,86889919.03350016,273.5480907473647,40362.1527,19.84978042485033,9520.305399999999,32314.59302758232,3182315.8324,41354212.8381642,69.45155057,0.93769193,11.5707,13.3283,15.9647,21.3839
1586261366,187132,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,0,0,19.84978042485033,9520.305399999999,32314.59302758232,3182315.8324,41354212.8381642,69.45088909,0.93769193,11.5710,13.3286,15.9650,21.3843
1586282692,187188,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,0,0,19.84978042485033,9520.305399999999,32314.59302758232,3182315.8324,41354212.8381642,69.45088909,0.93769193,11.5710,13.3286,15.9650,21.3843
1586304738,187242,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,0,0,19.84978042485033,9520.305399999999,32314.59302758232,3182315.8324,41354212.8381642,69.45088909,0.93769193,11.5710,13.3286,15.9650,21.3843
1586325877,187293,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,0,0,0,0,32314.59302758232,3182315.8324,41354212.8381642,69.45088909,0.93769193,11.5710,13.3286,15.9650,21.3843
1586347673,187346,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,0,0,0,0,32314.59302758232,3182315.8324,41354212.8381642,69.45088909,0.93769193,11.5710,13.3286,15.9650,21.3843
1586368945,187394,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,0,0,0,0,32314.59302758232,3182315.8324,41354212.8381642,69.45088909,0.93769193,11.5710,13.3286,15.9650,21.3843
1586391583,187451,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,0,0,0,0,32314.59302758232,3182315.8324,41354212.8381642,69.45088909,0.93769193,11.5710,13.3286,15.9650,21.3843
1586411173,187499,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,0,0,0,0,32314.59302758232,3182315.8324,41354212.8381642,69.45088909,0.93769193,11.5710,13.3286,15.9650,21.3843
1586432749,187552,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,0,0,0,0,32314.59302758232,3182315.8324,41354212.8381642,69.45088909,0.93769193,11.5710,13.3286,15.9650,21.3843
1586455167,187603,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,0,0,0,0,32314.59302758232,3182315.8324,41354212.8381642,69.45088909,0.93769193,11.5710,13.3286,15.9650,21.3843
1586475979,187655,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,0,0,0,0,32314.59302758232,3182315.8324,41354212.8381642,69.45088909,0.93769193,11.5710,13.3286,15.9650,21.3843
1586498254,187709,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,0,0,0,0,32314.59302758232,3182315.8324,41354212.8381642,69.45088909,0.93769193,11.5710,13.3286,15.9650,21.3843
1586520305,187765,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,21.28768199878332,5021.1527,0,0,32293.30534558353,3177294.6797,41354212.8381642,69.45088909,0.93707421,11.5710,13.3286,15.9650,21.3843
1586541671,187819,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,21.28768199878332,5021.1527,0,0,32293.30534558353,3177294.6797,41354212.8381642,69.45088909,0.93707421,11.5710,13.3286,15.9650,21.3843
1586563989,187870,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,21.28768199878332,5021.1527,0,0,32293.30534558353,3177294.6797,41354212.8381642,69.45088909,0.93707421,11.5710,13.3286,15.9650,21.3843
1586584305,187921,dwsquote,237,v1.1,28720868.49294731,86849556.88080016,21.28768199878332,5021.1527,0,0,32293.30534558353,3177294.6797,41354212.8381642,69.45088909,0.93707421,11.5710,13.3286,15.9650,21.3843
1586606919,187975,dwsquote,237,v1.1,28720847.20526531,86844535.72810017,0,0,0,0,32293.30534558353,3177294.6797,41354212.8381642,69.45083762,0.93707421,11.5710,13.3286,15.9650,21.3844
1586628618,188028,dwsquote,237,v1.1,28720847.20526531,86844535.72810017,0,0,0,0,32293.30534558353,3177294.6797,41354212.8381642,69.45083762,0.93707421,11.5710,13.3286,15.9650,21.3844
1586649939,188079,dwsquote,237,v1.1,28720847.20526531,86844535.72810017,0,0,0,0,32293.30534558353,3177294.6797,41354212.8381642,69.45083762,0.93707421,11.5710,13.3286,15.9650,21.3844
1586671750,188129,dwsquote,237,v1.1,28720847.20526531,86844535.72810017,0,0,0,0,32293.30534558353,3177294.6797,41354212.8381642,69.45083762,0.93707421,11.5710,13.3286,15.9650,21.3844
1586693611,188182,dwsquote,237,v1.1,28720847.20526531,86844535.72810017,0,0,0,0,32293.30534558353,3177294.6797,41354212.8381642,69.45083762,0.93707421,11.5710,13.3286,15.9650,21.3844
1586713466,188229,dwsquote,237,v1.1,28720847.20526531,86844535.72810017,208.9450571036877,100208.3054,0,0,32084.36028847985,3077086.3743,41354212.8381642,69.45083762,0.93101113,11.5710,13.3286,15.9650,21.3844
1586735856,188280,dwsquote,237,v1.1,28720847.20526531,86844535.72810017,626.8351713110632,300626.4581,0,0,31666.47017427247,2876668.2216,41354212.8381642,69.45083762,0.91888496,11.5710,13.3286,15.9650,21.3844
1586757623,188333,dwsquote,237,v1.1,28720847.20526531,86844535.72810017,626.8351713110632,300626.4581,0,0,31666.47017427247,2876668.2216,41354212.8381642,69.45083762,0.91888496,11.5710,13.3286,15.9650,21.3844
1586779513,188384,dwsquote,237,v1.1,28720847.20526531,86844535.72810017,626.8351713110632,300626.4581,0,0,31666.47017427247,2876668.2216,41354212.8381642,69.45083762,0.91888496,11.5710,13.3286,15.9650,21.3844
1586799860,188435,dwsquote,237,v1.1,28720638.2602082,86744327.42270015,417.8901142073754,200418.1527,0,0,31666.47017427247,2876668.2216,41354212.8381642,69.45033236,0.91888496,11.5712,13.3288,15.9653,21.3847
1586822453,188486,dwsquote,237,v1.1,28720220.370094,86543909.27000016,0,0,0,0,31666.47017427247,2876668.2216,41354212.8381642,69.44932184,0.91888496,11.5716,13.3293,15.9658,21.3854
1586843890,188534,dwsquote,237,v1.1,28720220.370094,86543909.27000016,19.84978042485033,9520.305399999999,0,0,31646.62039384762,2867147.9162,41354212.8381642,69.44932184,0.91830897,11.5716,13.3293,15.9658,21.3854
1586865274,188589,dwsquote,238,v1.1,28720315.49901322,86554004.42270015,19.84978042485033,9520.305399999999,95.12891922523872,10095.1527,31741.74931307286,2877243.0689,41354212.8381642,69.44955188,0.92106938,11.5715,13.3292,15.9657,21.3853
1586887821,188643,dwsquote,238,v1.1,28720315.49901322,86554004.42270015,19.84978042485033,9520.305399999999,95.12891922523872,10095.1527,31741.74931307286,2877243.0689,41354212.8381642,69.44955188,0.92106938,11.5715,13.3292,15.9657,21.3853
1586908684,188691,dwsquote,238,v1.1,28720315.49901322,86554004.42270015,19.84978042485033,9520.305399999999,95.12891922523872,10095.1527,31741.74931307286,2877243.0689,41354212.8381642,69.44955188,0.92106938,11.5715,13.3292,15.9657,21.3853
1586929702,188742,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,0,0,95.12891922523872,10095.1527,31741.74931307286,2877243.0689,41354212.8381642,69.44950388,0.92106938,11.5715,13.3292,15.9657,21.3853
1586952438,188794,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,0,0,0,0,31741.74931307286,2877243.0689,41354212.8381642,69.44950388,0.92106938,11.5715,13.3292,15.9657,21.3853
1586973792,188846,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,0,0,0,0,31741.74931307286,2877243.0689,41354212.8381642,69.44950388,0.92106938,11.5715,13.3292,15.9657,21.3853
1586995227,188899,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,0,0,0,0,31741.74931307286,2877243.0689,41354212.8381642,69.44950388,0.92106938,11.5715,13.3292,15.9657,21.3853
1587017561,188954,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,0,0,0,0,31741.74931307286,2877243.0689,41354212.8381642,69.44950388,0.92106938,11.5715,13.3292,15.9657,21.3853
1587038334,189006,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,0,0,0,0,31741.74931307286,2877243.0689,41354212.8381642,69.44950388,0.92106938,11.5715,13.3292,15.9657,21.3853
1587060956,189058,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,0,0,0,0,31741.74931307286,2877243.0689,41354212.8381642,69.44950388,0.92106938,11.5715,13.3292,15.9657,21.3853
1587081832,189108,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,0,0,0,0,31741.74931307286,2877243.0689,41354212.8381642,69.44950388,0.92106938,11.5715,13.3292,15.9657,21.3853
1587103361,189155,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,0,0,0,0,31741.74931307286,2877243.0689,41354212.8381642,69.44950388,0.92106938,11.5715,13.3292,15.9657,21.3853
1587125277,189204,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,65.04257486159358,10065.1527,0,0,31676.70673821127,2867177.9162,41354212.8381642,69.44950388,0.91918200,11.5715,13.3292,15.9657,21.3853
1587146928,189261,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,65.04257486159358,10065.1527,0,0,31676.70673821127,2867177.9162,41354212.8381642,69.44950388,0.91918200,11.5715,13.3292,15.9657,21.3853
1587167475,189310,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,65.04257486159358,10065.1527,0,0,31676.70673821127,2867177.9162,41354212.8381642,69.44950388,0.91918200,11.5715,13.3292,15.9657,21.3853
1587189697,189362,dwsquote,238,v1.1,28720295.6492328,86544484.11730015,65.04257486159358,10065.1527,0,0,31676.70673821127,2867177.9162,41354212.8381642,69.44950388,0.91918200,11.5715,13.3292,15.9657,21.3853
1587211429,189409,dwsquote,238,v1.1,28720230.60665794,86534418.96460015,0,0,0,0,31676.70673821127,2867177.9162,41354212.8381642,69.44934660,0.91918200,11.5716,13.3293,15.9658,21.3854
1587232693,189466,dwsquote,238,v1.1,28720230.60665794,86534418.96460015,0,0,0,0,31676.70673821127,2867177.9162,41354212.8381642,69.44934660,0.91918200,11.5716,13.3293,15.9658,21.3854
