height,sanctuary_reward,miner_subsidy,time
171716,4449,2502,1579885643
171715,,2485,1579885131
171714,4476,2517,1579885029
171713,4476,2517,1579884203
171712,4396,2473,1579884071
171711,4472,2515,1579883803
171710,4551,2560,1579883230
171709,4565,2567,1579882952
171708,4546,2557,1579882781
171707,4509,2536,1579882620
171706,4475,2517,1579882200
171705,,2548,1579881486
171704,,2560,1579881026
171703,4597,2586,1579880772
171702,4582,2577,1579880532
171701,,2570,1579880366
171700,,2564,1579879938
171699,,2550,1579879641
171698,4526,2546,1579878767
171697,4528,2547,1579878421
171696,,2572,1579878160
171695,,2567,1579877408
171694,4522,2544,1579877342
171693,4490,2526,1579877136
171692,4540,2554,1579876414
171691,4552,2560,1579875794
171690,4569,2570,1579875573
171689,4551,2560,1579875330
171688,4541,2554,1579874996
171687,4556,2562,1579874507
171686,4601,2588,1579874200
171685,4608,2592,1579873763
171684,4598,2586,1579873581
171683,4576,2574,1579873425
171682,4558,2564,1579872984
171681,4586,2580,1579872274
171680,4596,2585,1579871878
171679,4602,2589,1579871546
171678,4586,2580,1579871174
171677,,2573,1579871023
171676,4570,2571,1579870436
171675,4584,2579,1579869895
171674,4575,2573,1579869505
171673,,2570,1579869119
171672,4556,2563,1579868708
171671,4556,2562,1579868369
171670,4576,2574,1579867712
171669,4585,2579,1579867423
171668,4592,2583,1579867165
171667,,2575,1579866706
171666,4547,2558,1579866491
171665,4581,2576,1579866018
171664,4589,2581,1579865461
171663,4585,2579,1579865100
171662,4557,2563,1579864771
171661,4525,2545,1579864568
171660,4540,2553,1579863830
171659,4537,2552,1579863250
171658,4577,2575,1579862868
171657,,2581,1579862514
171656,4602,2589,1579862346
171655,4598,2586,1579861982
171654,4567,2569,1579861773
171653,4538,2552,1579861313
171652,4585,2579,1579860774
171651,4595,2585,1579860268
171650,,2581,1579859786
171649,,2550,1579859661
171648,4482,2521,1579859449
171647,4449,2502,1579858443
171646,4499,2530,1579857818
171645,4565,2568,1579857176
171644,,2584,1579857016
171643,4592,2583,1579856957
171642,4589,2581,1579856716
171641,4579,2575,1579856388
171640,4592,2583,1579856024
171639,4568,2569,1579855474
171638,4535,2550,1579855094
171637,4555,2562,1579854635
171636,4587,2580,1579854218
171635,4586,2580,1579853542
171634,4540,2554,1579853410
171633,4546,2557,1579853309
171632,4600,2587,1579852531
171631,4601,2588,1579852094
171630,4595,2584,1579851961
171629,4600,2587,1579851717
171628,4598,2586,1579851381
171627,4602,2588,1579850772
171626,4577,2574,1579850483
171625,4573,2572,1579850218
171624,4540,2553,1579849460
171623,4537,2552,1579849082
171622,4508,2535,1579848444
171621,4512,2538,1579847968
171620,4477,2518,1579847395
171619,4515,2540,1579847063
171618,4545,2556,1579846510
171617,4549,2558,1579846262
171616,4575,2573,1579845927
171615,4590,2582,1579845722
171614,4611,2594,1579845432
171613,4605,2590,1579845062
171612,4595,2585,1579844951
171611,4615,2596,1579844520
171610,4616,2596,1579844122
171609,4630,2604,1579843714
171608,4620,2598,1579843452
171607,4629,2604,1579843281
171606,4621,2599,1579842667
171605,4615,2596,1579842454
171604,,2593,1579841902
171603,,2587,1579841528
171602,,2586,1579840932
171601,,2572,1579840463
171600,4600,2587,1579840081
171599,4598,2586,1579839484
171598,,2585,1579839204
171597,,2561,1579838768
171596,4548,2558,1579838515
171595,4536,2551,1579837774
171594,4591,2582,1579837195
171593,4586,2579,1579836814
171592,4626,2602,1579836712
171591,4623,2600,1579836369
171590,4608,2592,1579836235
171589,4565,2567,1579835783
171588,4533,2549,1579835551
171587,4559,2564,1579834530
171586,4572,2571,1579833766
171585,4570,2570,1579833570
171584,4560,2565,1579833249
171583,,2567,1579832838
171582,,2591,1579832470
171581,,2591,1579832125
171580,,2587,1579831817
171579,,2571,1579831605
171578,4620,2599,1579831313
171577,,2605,1579830597
171576,,2607,1579830467
171575,,2597,1579830372
